"state_abbr","percent_favorable_aca","percent_supporting_expansion","percent_supporting_tea_party"
"AL",38.2711108911823,57.7616115233522,30.7767742947428
"AK",37.4428493677838,47.424686737961,30.9956799497101
"AZ",39.6721609154912,53.2125448396785,29.9007108577522
"AR",36.1623814680961,54.438100174869,33.8283217306806
"CA",56.0999240847165,53.261622835146,23.0747313763205
"CO",45.0011650633043,58.3101822274641,28.511762348733
"CT",52.2239143634457,48.6245852429385,22.2329688077306
"DE",52.4637037667977,59.5357262937183,26.3292046298217
"DC",85.3595690161985,84.0463441218398,10.8432849854603
"FL",47.022917052716,54.912026959754,28.1749303886266
"GA",46.0216990024346,56.5251261963049,30.1006641871353
"HI",61.965456264517,59.5862564506637,20.5518448896619
"ID",28.2992730179373,41.8841907670876,37.4676791279434
"IL",55.0517975187469,55.3751131347462,22.4253395245864
"IN",42.1854785281297,41.3728481509261,28.9368459785062
"IA",45.4007062646206,41.7331294677769,26.3204717917949
"KS",39.4817640911206,47.151773444699,28.9837284613954
"KY",33.6156662764729,51.0542243637898,36.6113255327563
"LA",42.5588396620569,57.0330688618078,30.5537467637986
"ME",47.2319257331465,53.7061183816328,23.957112817244
"MD",58.3719023711148,64.6575106284812,22.7137843245749
"MA",53.1871146279692,55.7209122072276,22.0005388395534
"MI",50.9096426714406,47.9775026101343,25.1558107256684
"MN",49.7981331879903,37.2086594322546,25.4897441352796
"MS",46.8038078521612,63.9259041568927,28.6371291767602
"MO",42.0161837905426,39.4844303447726,28.0077768003207
"MT",35.1773944902139,48.158458501228,33.6263606914854
"NE",36.5225584190989,41.0439145560798,30.6810551410791
"NV",45.9026605256376,54.6537951907463,28.7719999926054
"NH",43.886275738451,46.7270986647685,26.1769636287695
"NJ",53.1656835425683,49.1300775503961,20.5635135775083
"NM",52.8461049175538,52.9302694947645,25.1645204439863
"NY",60.10574821094,57.2001778491476,20.0057375782412
"NC",45.2240849305449,49.1062260873947,29.2147617036007
"ND",36.7690453757597,41.6483280787478,31.2452479697466
"OH",45.6298880813516,55.9029795198255,26.7292581828586
"OK",30.9578750918355,48.0008627984009,35.8668407617619
"OR",45.5832591683007,57.23525430389,28.4085787311141
"PA",45.819440292365,44.5154527294502,24.5277673527106
"RI",53.6978574569609,53.8211762398178,21.7533474837575
"SC",44.4870259057071,55.6537485351148,28.6825395597558
"SD",37.7170366708612,42.3463832038885,30.8834959018036
"TN",36.8615233253355,47.3261481674133,33.8561432736239
"TX",42.8407014559672,49.0457235607283,31.008816404841
"UT",24.8496577141183,37.6427786031823,37.1440010108283
"VT",55.3042362822573,52.057304619097,21.3770275566817
"VA",47.0739058046787,59.8602946814416,28.3881621854199
"WA",49.6133477680592,55.7653162287888,26.3303874640128
"WV",29.5062675817918,49.3123625954366,36.834198918816
"WI",48.9912969415965,48.7267570100047,25.9849472164369
"WY",26.3567780036879,43.6348711109597,38.0151802792252
