"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
1,"CO","White","$20,000-$40,000","Female","Female.White","45-64","less than a high school education","April","2013","Kaiser"
0,"UT","White","$75,000+","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"VA","White","less than $20,000","Female","Female.White","65+","less than a high school education","April","2013","Kaiser"
1,"NJ","Black","$75,000+","Female","Female.Black","45-64","college graduate","April","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","Female.White","65+","college graduate","April","2013","Kaiser"
1,"MA","White","$75,000+","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"NY","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"NJ","Hispanic","$40,000-$75,000","Female","Female.Hispanic","30-44","college graduate","April","2013","Kaiser"
0,"IN","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
1,"VA","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
0,"NC","Black","$75,000+","Male","Male.Black","18-29","some college","April","2013","Kaiser"
1,"AZ","Hispanic","$20,000-$40,000","Female","Female.Hispanic","18-29","less than a high school education","April","2013","Kaiser"
0,"AZ","White","$75,000+","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
0,"UT","Hispanic","$75,000+","Male","Male.Hispanic","30-44","college graduate","April","2013","Kaiser"
1,"KY","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"SC","White","$75,000+","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"MI","White","$75,000+","Male","Male.White","65+","college graduate","April","2013","Kaiser"
1,"WI","White","less than $20,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"OH","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
0,"OR","White","less than $20,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
1,"CA","Hispanic","$75,000+","Female","Female.Hispanic","30-44","college graduate","April","2013","Kaiser"
0,"NM","White","$75,000+","Female","Female.White","30-44","some college","April","2013","Kaiser"
0,"CO","White","$75,000+","Male","Male.White","30-44","less than a high school education","April","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
0,"FL","Black","less than $20,000","Female","Female.Black","30-44","some college","April","2013","Kaiser"
1,"TX","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"NE","Black","$20,000-$40,000","Male","Male.Black","45-64","high school graduate","April","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","65+","some college","April","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"IL","White","$75,000+","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Female","Female.White","18-29","less than a high school education","April","2013","Kaiser"
0,"WA","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"TN","White","$40,000-$75,000","Female","Female.White","30-44","high school graduate","April","2013","Kaiser"
0,"TN","White","less than $20,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
0,"MO","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"CA","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"CA","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
1,"OK","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
1,"IL","White","$75,000+","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","30-44","less than a high school education","April","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"CA","White","$20,000-$40,000","Female","Female.White","65+","college graduate","April","2013","Kaiser"
0,"UT","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
0,"AZ","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"UT","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"KY","White","$20,000-$40,000","Male","Male.White","18-29","college graduate","April","2013","Kaiser"
0,"VA","White","$75,000+","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"MD","White","less than $20,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
0,"OH","White","$40,000-$75,000","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
1,"NJ","Black","$75,000+","Male","Male.Black","45-64","high school graduate","April","2013","Kaiser"
1,"MA","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
1,"NJ","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"PA","White","$75,000+","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
1,"MI","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
1,"MA","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2013","Kaiser"
1,"MD","Black","less than $20,000","Male","Male.Black","45-64","high school graduate","April","2013","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"NC","White","$20,000-$40,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
1,"FL","Black","$40,000-$75,000","Male","Male.Black","45-64","some college","April","2013","Kaiser"
1,"PA","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"NY","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"NC","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"MD","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2013","Kaiser"
0,"MD","Black","$20,000-$40,000","Female","Female.Black","65+","some college","April","2013","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","65+","college graduate","April","2013","Kaiser"
0,"SC","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"NY","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2013","Kaiser"
1,"NY","White","$75,000+","Female","Female.White","65+","college graduate","April","2013","Kaiser"
1,"NC","Black","$20,000-$40,000","Female","Female.Black","65+","some college","April","2013","Kaiser"
0,"PA","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"RI","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
1,"NY","White","$75,000+","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"NJ","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","65+","college graduate","April","2013","Kaiser"
1,"PA","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"PA","White","less than $20,000","Male","Male.White","65+","some college","April","2013","Kaiser"
0,"OH","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"NC","White","$40,000-$75,000","Male","Male.White","65+","some college","April","2013","Kaiser"
1,"MI","White","$20,000-$40,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"NJ","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
0,"GA","White","less than $20,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"NY","White","$75,000+","Male","Male.White","65+","some college","April","2013","Kaiser"
0,"FL","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2013","Kaiser"
1,"SC","Black","less than $20,000","Female","Female.Black","45-64","less than a high school education","April","2013","Kaiser"
0,"KY","White","less than $20,000","Female","Female.White","18-29","some college","April","2013","Kaiser"
1,"KY","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
1,"NY","White","$20,000-$40,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"VA","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"WI","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
1,"WI","White","$40,000-$75,000","Female","Female.White","65+","college graduate","April","2013","Kaiser"
1,"TX","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"SC","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","less than a high school education","April","2013","Kaiser"
0,"FL","Hispanic","$75,000+","Female","Female.Hispanic","45-64","college graduate","April","2013","Kaiser"
0,"MS","Black","$20,000-$40,000","Female","Female.Black","65+","postgraduate","April","2013","Kaiser"
1,"MI","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"MA","White","$75,000+","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Male","Male.White","65+","some college","April","2013","Kaiser"
1,"IL","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2013","Kaiser"
0,"NM","White","$20,000-$40,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
1,"KY","White","$75,000+","Female","Female.White","30-44","high school graduate","April","2013","Kaiser"
0,"MO","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
0,"TX","White","$75,000+","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"AZ","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"AZ","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2013","Kaiser"
0,"IL","White","less than $20,000","Male","Male.White","18-29","college graduate","April","2013","Kaiser"
0,"IN","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"UT","White","less than $20,000","Female","Female.White","18-29","college graduate","April","2013","Kaiser"
0,"TX","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","college graduate","April","2013","Kaiser"
1,"NM","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"IA","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
0,"MS","Black","$20,000-$40,000","Male","Male.Black","30-44","high school graduate","April","2013","Kaiser"
0,"NE","Black","less than $20,000","Male","Male.Black","45-64","some college","April","2013","Kaiser"
1,"TX","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"CA","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"TX","Hispanic","$75,000+","Female","Female.Hispanic","30-44","postgraduate","April","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","65+","less than a high school education","April","2013","Kaiser"
1,"CA","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","high school graduate","April","2013","Kaiser"
1,"NE","White","$75,000+","Male","Male.White","30-44","postgraduate","April","2013","Kaiser"
1,"CA","White","less than $20,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"OK","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"NV","White","$20,000-$40,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
1,"CA","Black","$20,000-$40,000","Female","Female.Black","65+","college graduate","April","2013","Kaiser"
1,"WA","Black","$20,000-$40,000","Male","Male.Black","65+","some college","April","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Female","Female.Hispanic","18-29","some college","April","2013","Kaiser"
1,"ID","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
1,"WA","Other","$20,000-$40,000","Male","Male.Other","18-29","high school graduate","April","2013","Kaiser"
0,"WA","White","$75,000+","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"CA","White","$75,000+","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"OR","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Male","Male.White","65+","some college","April","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","45-64","some college","April","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
1,"AZ","White","less than $20,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
1,"OR","White","$75,000+","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
1,"CA","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
1,"CA","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"CA","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"NC","White","$40,000-$75,000","Male","Male.White","65+","some college","April","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"SC","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"NH","White","$75,000+","Male","Male.White","65+","college graduate","April","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","Female.White","65+","college graduate","April","2013","Kaiser"
0,"NC","White","$75,000+","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","65+","college graduate","April","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"PA","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"IN","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
0,"DC","Black","$40,000-$75,000","Male","Male.Black","65+","postgraduate","April","2013","Kaiser"
1,"MI","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"GA","Black","$75,000+","Male","Male.Black","65+","postgraduate","April","2013","Kaiser"
1,"PA","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","April","2013","Kaiser"
1,"VA","White","$20,000-$40,000","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"NC","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"TN","White","$75,000+","Female","Female.White","30-44","some college","April","2013","Kaiser"
1,"PA","White","$75,000+","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"OH","White","less than $20,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
1,"TX","Black","$40,000-$75,000","Female","Female.Black","30-44","some college","April","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Female","Female.Hispanic","65+","less than a high school education","April","2013","Kaiser"
1,"TN","Black","less than $20,000","Male","Male.Black","18-29","some college","April","2013","Kaiser"
1,"WI","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2013","Kaiser"
0,"MN","White","$20,000-$40,000","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
1,"OK","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"CA","Other","$75,000+","Female","Female.Other","65+","postgraduate","April","2013","Kaiser"
0,"IN","Other","$75,000+","Female","Female.Other","45-64","postgraduate","April","2013","Kaiser"
0,"IA","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"IL","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"WI","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"LA","White","$40,000-$75,000","Male","Male.White","65+","college graduate","April","2013","Kaiser"
1,"IN","White","$20,000-$40,000","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
0,"MO","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
0,"KS","White","$40,000-$75,000","Female","Female.White","30-44","some college","April","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"KY","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Female","Female.Hispanic","65+","less than a high school education","April","2013","Kaiser"
1,"FL","Hispanic","$40,000-$75,000","Male","Male.Hispanic","45-64","some college","April","2013","Kaiser"
0,"NJ","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"SC","Black","$20,000-$40,000","Female","Female.Black","45-64","some college","April","2013","Kaiser"
1,"IA","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"WY","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","April","2013","Kaiser"
0,"UT","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
0,"LA","White","$75,000+","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"MN","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
0,"FL","White","$75,000+","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"MO","White","$75,000+","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
1,"PA","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2013","Kaiser"
0,"MO","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"NY","Black","$40,000-$75,000","Female","Female.Black","30-44","some college","April","2013","Kaiser"
0,"IA","White","$75,000+","Male","Male.White","18-29","college graduate","April","2013","Kaiser"
1,"NY","White","$75,000+","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"MA","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Female","Female.Hispanic","45-64","less than a high school education","April","2013","Kaiser"
1,"FL","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
0,"MI","White","$75,000+","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
1,"PA","Black","$40,000-$75,000","Female","Female.Black","45-64","college graduate","April","2013","Kaiser"
1,"FL","White","$20,000-$40,000","Female","Female.White","65+","college graduate","April","2013","Kaiser"
1,"MI","White","$40,000-$75,000","Male","Male.White","65+","college graduate","April","2013","Kaiser"
1,"FL","Hispanic","$75,000+","Female","Female.Hispanic","45-64","postgraduate","April","2013","Kaiser"
0,"NY","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
0,"IN","White","$20,000-$40,000","Male","Male.White","18-29","college graduate","April","2013","Kaiser"
0,"OK","Other","$40,000-$75,000","Female","Female.Other","45-64","college graduate","April","2013","Kaiser"
0,"WI","White","$20,000-$40,000","Female","Female.White","30-44","some college","April","2013","Kaiser"
0,"WI","White","$40,000-$75,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
1,"TX","Black","$20,000-$40,000","Female","Female.Black","45-64","high school graduate","April","2013","Kaiser"
1,"TX","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
1,"IL","White","$40,000-$75,000","Female","Female.White","65+","less than a high school education","April","2013","Kaiser"
0,"AL","White","less than $20,000","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
1,"AZ","White","$20,000-$40,000","Female","Female.White","65+","some college","April","2013","Kaiser"
0,"NE","White","$20,000-$40,000","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"NE","White","$40,000-$75,000","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
1,"AZ","White","$75,000+","Female","Female.White","30-44","some college","April","2013","Kaiser"
1,"CA","Black","$20,000-$40,000","Female","Female.Black","65+","some college","April","2013","Kaiser"
0,"AZ","White","$75,000+","Male","Male.White","65+","college graduate","April","2013","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
1,"FL","White","$40,000-$75,000","Male","Male.White","65+","college graduate","April","2013","Kaiser"
1,"MI","White","$75,000+","Female","Female.White","30-44","postgraduate","April","2013","Kaiser"
1,"MD","Black","less than $20,000","Male","Male.Black","65+","some college","April","2013","Kaiser"
0,"NJ","White","$75,000+","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"PA","White","less than $20,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
0,"PA","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
0,"NY","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"NC","White","$75,000+","Female","Female.White","65+","college graduate","April","2013","Kaiser"
0,"WI","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","30-44","some college","April","2013","Kaiser"
0,"OH","White","less than $20,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
1,"MD","Black","$75,000+","Male","Male.Black","30-44","high school graduate","April","2013","Kaiser"
0,"ND","White","$20,000-$40,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"NJ","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","April","2013","Kaiser"
0,"OH","White","$40,000-$75,000","Female","Female.White","65+","college graduate","April","2013","Kaiser"
0,"PA","White","$75,000+","Male","Male.White","30-44","high school graduate","April","2013","Kaiser"
1,"KS","White","$75,000+","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"MA","White","$75,000+","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
0,"TX","White","$75,000+","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
1,"KY","White","$75,000+","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
1,"WI","White","$20,000-$40,000","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Male","Male.White","65+","college graduate","April","2013","Kaiser"
0,"NY","Other","$75,000+","Male","Male.Other","30-44","high school graduate","April","2013","Kaiser"
0,"FL","White","less than $20,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"MD","White","$75,000+","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"UT","White","less than $20,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
1,"SD","Black","$75,000+","Female","Female.Black","45-64","postgraduate","April","2013","Kaiser"
0,"NJ","Hispanic","$75,000+","Female","Female.Hispanic","45-64","postgraduate","April","2013","Kaiser"
0,"CO","White","$75,000+","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
1,"OR","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"AZ","White","$75,000+","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","30-44","some college","April","2013","Kaiser"
1,"CA","White","$40,000-$75,000","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"OK","Hispanic","$20,000-$40,000","Female","Female.Hispanic","65+","postgraduate","April","2013","Kaiser"
1,"CA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","18-29","high school graduate","April","2013","Kaiser"
0,"MS","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"UT","White","$75,000+","Female","Female.White","45-64","high school graduate","April","2013","Kaiser"
