"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
0,"MI","White","$75,000+","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"NC","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
1,"MD","Black","$40,000-$75,000","Female","Female.Black","30-44","college graduate","April","2013","Kaiser"
0,"MA","White","less than $20,000","Female","Female.White","18-29","high school graduate","April","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"NC","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
0,"FL","White","less than $20,000","Female","Female.White","65+","some college","April","2013","Kaiser"
0,"MD","White","$40,000-$75,000","Male","Male.White","65+","college graduate","April","2013","Kaiser"
0,"OH","White","$75,000+","Male","Male.White","45-64","high school graduate","April","2013","Kaiser"
1,"AR","Other","$20,000-$40,000","Female","Female.Other","30-44","some college","April","2013","Kaiser"
1,"NC","Black","less than $20,000","Male","Male.Black","65+","some college","April","2013","Kaiser"
1,"TX","White","$75,000+","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
1,"MI","White","$20,000-$40,000","Male","Male.White","65+","some college","April","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
1,"MS","Black","$20,000-$40,000","Female","Female.Black","65+","less than a high school education","April","2013","Kaiser"
0,"NC","White","$20,000-$40,000","Male","Male.White","45-64","some college","April","2013","Kaiser"
1,"VA","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","April","2013","Kaiser"
0,"KY","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"SC","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
1,"NJ","White","$40,000-$75,000","Female","Female.White","45-64","postgraduate","April","2013","Kaiser"
1,"TN","White","$75,000+","Male","Male.White","65+","postgraduate","April","2013","Kaiser"
0,"IL","White","$20,000-$40,000","Female","Female.White","65+","high school graduate","April","2013","Kaiser"
0,"LA","Hispanic","$75,000+","Female","Female.Hispanic","30-44","postgraduate","April","2013","Kaiser"
0,"NC","White","less than $20,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"GA","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","April","2013","Kaiser"
1,"AR","Hispanic","less than $20,000","Female","Female.Hispanic","45-64","some college","April","2013","Kaiser"
0,"AR","White","$20,000-$40,000","Female","Female.White","30-44","college graduate","April","2013","Kaiser"
0,"TX","White","$75,000+","Female","Female.White","65+","postgraduate","April","2013","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","45-64","postgraduate","April","2013","Kaiser"
1,"PA","White","$75,000+","Male","Male.White","45-64","college graduate","April","2013","Kaiser"
0,"NC","White","$75,000+","Male","Male.White","30-44","postgraduate","April","2013","Kaiser"
1,"KS","White","$40,000-$75,000","Female","Female.White","45-64","some college","April","2013","Kaiser"
0,"MT","White","$40,000-$75,000","Male","Male.White","65+","some college","April","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","April","2013","Kaiser"
0,"TN","White","$20,000-$40,000","Male","Male.White","65+","high school graduate","April","2013","Kaiser"
0,"KY","White","$40,000-$75,000","Male","Male.White","18-29","high school graduate","April","2013","Kaiser"
1,"NC","White","$40,000-$75,000","Female","Female.White","65+","some college","April","2013","Kaiser"
1,"NY","White","$75,000+","Female","Female.White","45-64","some college","April","2013","Kaiser"
