"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
NA,NA,"OR","White","less than $20,000","Female","65+","some college","February","2013","Kaiser"
0,0,"WA","White","$40,000-$75,000","Male","65+","postgraduate","February","2013","Kaiser"
0,NA,"CA","White",NA,"Female","65+","some college","February","2013","Kaiser"
0,NA,"OR","White",NA,"Female","45-64","some college","February","2013","Kaiser"
0,0,"AR","White","less than $20,000","Male","45-64","some college","February","2013","Kaiser"
NA,0,"CA","White","$75,000+","Male","18-29","some college","February","2013","Kaiser"
0,1,"CA","White","$75,000+","Male","45-64","some college","February","2013","Kaiser"
0,0,"CA","White","$40,000-$75,000","Female","18-29","some college","February","2013","Kaiser"
NA,0,"CA","Hispanic","$20,000-$40,000","Female","65+","less than a high school education","February","2013","Kaiser"
NA,0,"NM","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
1,0,"MT","White",NA,"Female","45-64","high school graduate","February","2013","Kaiser"
NA,0,"NM","Hispanic","$75,000+","Male","30-44","college graduate","February","2013","Kaiser"
0,0,"CO","White","$75,000+","Female","45-64","high school graduate","February","2013","Kaiser"
NA,NA,"NM","Hispanic",NA,"Female","65+","less than a high school education","February","2013","Kaiser"
NA,0,"CA","White","$20,000-$40,000","Male","45-64","some college","February","2013","Kaiser"
0,0,"AK","Hispanic","$40,000-$75,000","Male","65+","postgraduate","February","2013","Kaiser"
NA,0,"AK","Other","$40,000-$75,000","Male","30-44","some college","February","2013","Kaiser"
1,0,"WA","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
0,NA,"CA","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
0,0,"CA","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
0,0,"OR","White","$20,000-$40,000","Male","45-64","college graduate","February","2013","Kaiser"
1,0,"WA","White",NA,"Male","45-64","college graduate","February","2013","Kaiser"
0,0,"NM","Other",NA,"Female","45-64","college graduate","February","2013","Kaiser"
0,1,"WA","White","$75,000+","Male","30-44","college graduate","February","2013","Kaiser"
0,1,"NV","White","$40,000-$75,000","Female","65+","some college","February","2013","Kaiser"
0,0,"CO","White","$40,000-$75,000","Female","45-64","some college","February","2013","Kaiser"
1,0,"AZ","White","less than $20,000","Female","45-64","college graduate","February","2013","Kaiser"
0,0,"CA","White","less than $20,000","Female","45-64","high school graduate","February","2013","Kaiser"
1,0,"WA","White","$20,000-$40,000","Female","65+","college graduate","February","2013","Kaiser"
1,0,"OR","White","$40,000-$75,000","Male","45-64","postgraduate","February","2013","Kaiser"
NA,1,"PA","White","$75,000+","Male","45-64","some college","February","2013","Kaiser"
NA,0,"MI","White","less than $20,000","Female","65+","some college","February","2013","Kaiser"
0,1,"OH","Other",NA,"Male","65+","high school graduate","February","2013","Kaiser"
0,0,"CT","White","$40,000-$75,000","Male","45-64","some college","February","2013","Kaiser"
1,0,"NJ","White",NA,"Male","45-64","college graduate","February","2013","Kaiser"
1,0,"NC","Black","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
0,1,"PA","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
0,0,"NJ","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
0,NA,"IN","White","$20,000-$40,000","Female","45-64","some college","February","2013","Kaiser"
1,1,"MD","White","$20,000-$40,000","Male","65+","college graduate","February","2013","Kaiser"
NA,0,"GA","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
0,0,"FL","White","$40,000-$75,000","Male","65+","college graduate","February","2013","Kaiser"
1,0,"NH","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"CT","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
0,1,"PA","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
0,0,"PA","White",NA,"Female","30-44","college graduate","February","2013","Kaiser"
0,0,"NJ","White","$75,000+","Male","45-64","postgraduate","February","2013","Kaiser"
1,0,"NH","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
0,0,"NY","White","less than $20,000","Female","30-44","high school graduate","February","2013","Kaiser"
NA,0,"PA","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
0,1,"GA","White",NA,"Female","65+","college graduate","February","2013","Kaiser"
1,0,"NY","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
0,0,"PA","White","$75,000+","Female","65+","some college","February","2013","Kaiser"
0,0,"SC","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"NC","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"FL","Hispanic","$40,000-$75,000","Male","30-44","high school graduate","February","2013","Kaiser"
1,0,"NY","White","$75,000+","Female","30-44","postgraduate","February","2013","Kaiser"
0,1,"OH","White","$20,000-$40,000","Female","65+","less than a high school education","February","2013","Kaiser"
1,0,"MA",NA,NA,"Male","45-64","college graduate","February","2013","Kaiser"
1,0,"GA","White","$20,000-$40,000","Male","30-44","high school graduate","February","2013","Kaiser"
1,0,"MD","Black","less than $20,000","Female","65+","less than a high school education","February","2013","Kaiser"
0,0,"IN","White","$20,000-$40,000","Female","65+","postgraduate","February","2013","Kaiser"
1,0,"NY","Hispanic","$40,000-$75,000","Male","18-29","some college","February","2013","Kaiser"
1,0,"PA","White","$40,000-$75,000","Male","65+","college graduate","February","2013","Kaiser"
1,0,"LA","White","$40,000-$75,000","Female","65+","some college","February","2013","Kaiser"
1,1,"NH","White","less than $20,000","Female","30-44","high school graduate","February","2013","Kaiser"
0,1,"FL","White",NA,"Male","45-64","some college","February","2013","Kaiser"
0,0,"NY","White","$40,000-$75,000","Male","30-44","college graduate","February","2013","Kaiser"
1,0,"IL","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
0,1,"FL","White",NA,"Female","18-29","some college","February","2013","Kaiser"
1,0,"OK","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
0,0,"IA","White","$40,000-$75,000","Female","65+","high school graduate","February","2013","Kaiser"
NA,NA,"NY","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"MI","White","$20,000-$40,000","Male","65+","high school graduate","February","2013","Kaiser"
NA,NA,"MI","White","$20,000-$40,000","Male","65+","high school graduate","February","2013","Kaiser"
1,0,"MN","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
1,0,"SC","Black","$75,000+","Male","45-64","high school graduate","February","2013","Kaiser"
0,0,"OK","White","$40,000-$75,000","Female","45-64","college graduate","February","2013","Kaiser"
1,0,"TX","White","$40,000-$75,000","Female","65+","college graduate","February","2013","Kaiser"
NA,0,"MO","White","$40,000-$75,000","Male","65+","college graduate","February","2013","Kaiser"
1,0,"MI","White","less than $20,000","Male","45-64","postgraduate","February","2013","Kaiser"
0,1,"WI","White","less than $20,000","Female","65+","less than a high school education","February","2013","Kaiser"
0,0,"IN","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
1,0,"DC","White",NA,"Male","65+","postgraduate","February","2013","Kaiser"
1,NA,"TX","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
0,0,"IA","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
0,0,"ID","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
1,0,"IL","White","$75,000+","Male","18-29","college graduate","February","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Female","65+","postgraduate","February","2013","Kaiser"
NA,0,"IN","White",NA,"Male","65+","some college","February","2013","Kaiser"
0,0,"VA","White","less than $20,000","Male","18-29","some college","February","2013","Kaiser"
0,NA,"AZ","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
1,0,"WI","White",NA,"Male","65+","high school graduate","February","2013","Kaiser"
1,0,"IL","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"WI","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
NA,0,"AZ","White","$40,000-$75,000","Female","65+","high school graduate","February","2013","Kaiser"
NA,0,"VA",NA,"$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
0,NA,"NY","White","$20,000-$40,000","Female","65+","less than a high school education","February","2013","Kaiser"
0,1,"AL","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
0,1,"NY","White","less than $20,000","Female","45-64","some college","February","2013","Kaiser"
0,0,"NY","White","$75,000+","Female","65+","college graduate","February","2013","Kaiser"
1,1,"NC","White",NA,"Female","65+","college graduate","February","2013","Kaiser"
NA,NA,"FL","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
0,0,"NJ","White",NA,"Female","30-44","college graduate","February","2013","Kaiser"
0,0,"WI","White","less than $20,000","Male","65+","less than a high school education","February","2013","Kaiser"
NA,0,"VA","White","less than $20,000","Female","45-64","less than a high school education","February","2013","Kaiser"
0,1,"PA","White","$40,000-$75,000","Female","45-64","postgraduate","February","2013","Kaiser"
0,0,"GA","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
0,NA,"AZ","Hispanic","$20,000-$40,000","Female","45-64","college graduate","February","2013","Kaiser"
NA,0,"CA","White","$20,000-$40,000","Female","30-44","postgraduate","February","2013","Kaiser"
1,0,"CA","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
0,1,"NC","White","$20,000-$40,000","Male","65+","college graduate","February","2013","Kaiser"
0,1,"TX","White",NA,"Male","45-64","some college","February","2013","Kaiser"
0,NA,"TN","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"CA","White",NA,"Female","30-44","college graduate","February","2013","Kaiser"
1,0,"NY","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
1,NA,"MO","White","$20,000-$40,000","Male","65+","college graduate","February","2013","Kaiser"
0,1,"MN","White","$40,000-$75,000","Female","45-64","some college","February","2013","Kaiser"
1,0,"AL","Other","$40,000-$75,000","Female","45-64","postgraduate","February","2013","Kaiser"
0,0,"MA","White","$75,000+","Male","45-64","postgraduate","February","2013","Kaiser"
1,0,"PA","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"KY","White","$40,000-$75,000","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"NV","Hispanic","$20,000-$40,000","Female","45-64","less than a high school education","February","2013","Kaiser"
0,0,"NY","White","$20,000-$40,000","Male","65+","some college","February","2013","Kaiser"
1,0,"TX","Other","$20,000-$40,000","Male","65+","some college","February","2013","Kaiser"
1,0,"NJ","Black","$40,000-$75,000","Female","65+","college graduate","February","2013","Kaiser"
0,1,"FL","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"NY","White","$75,000+","Male","45-64","postgraduate","February","2013","Kaiser"
1,0,"WI","White","$75,000+","Male","45-64","high school graduate","February","2013","Kaiser"
0,0,"TX","White","$75,000+","Female","45-64","high school graduate","February","2013","Kaiser"
0,1,"NY","White","$40,000-$75,000","Male","65+","postgraduate","February","2013","Kaiser"
0,1,"IL","White","$20,000-$40,000","Female","45-64","college graduate","February","2013","Kaiser"
NA,0,"MO","White",NA,"Female","45-64","high school graduate","February","2013","Kaiser"
1,0,"IL",NA,"$40,000-$75,000","Female","65+","some college","February","2013","Kaiser"
1,0,"TX","Hispanic","$20,000-$40,000","Female","45-64","college graduate","February","2013","Kaiser"
0,1,"OH","White","$40,000-$75,000","Male","45-64","high school graduate","February","2013","Kaiser"
0,1,"KS","White","$20,000-$40,000","Female","18-29","some college","February","2013","Kaiser"
0,0,"WI","White",NA,"Female","45-64","some college","February","2013","Kaiser"
0,1,"TX","White","less than $20,000","Female","65+","some college","February","2013","Kaiser"
NA,0,"AL","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
0,NA,"KY","White","$20,000-$40,000","Male","18-29","high school graduate","February","2013","Kaiser"
NA,NA,"TN","Black","$20,000-$40,000","Male","65+","high school graduate","February","2013","Kaiser"
0,0,"AZ","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
0,NA,"AL","White","$75,000+","Male","30-44","college graduate","February","2013","Kaiser"
NA,0,"MN","White",NA,"Female","45-64","high school graduate","February","2013","Kaiser"
0,1,"TX","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
1,0,"OR","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
1,0,"HI","Other","$40,000-$75,000","Female","65+","college graduate","February","2013","Kaiser"
1,0,"WA","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
NA,0,"CA","Hispanic","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
0,0,"CA","Hispanic","$20,000-$40,000","Male","45-64","high school graduate","February","2013","Kaiser"
0,0,"IL","White","$20,000-$40,000","Female","65+","some college","February","2013","Kaiser"
0,0,"IA","White","$40,000-$75,000","Male","30-44","high school graduate","February","2013","Kaiser"
0,1,"WI","White","$75,000+","Male","30-44","college graduate","February","2013","Kaiser"
0,0,"MO","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
NA,0,"CA","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","February","2013","Kaiser"
1,0,"WA","White","$75,000+","Male","65+","high school graduate","February","2013","Kaiser"
1,NA,"CA","Hispanic","$20,000-$40,000","Female","30-44","less than a high school education","February","2013","Kaiser"
1,0,"NV","White","$75,000+","Female","45-64","some college","February","2013","Kaiser"
0,0,"OR","White","$40,000-$75,000","Male","30-44","college graduate","February","2013","Kaiser"
0,0,"OR","White","$40,000-$75,000","Female","65+","high school graduate","February","2013","Kaiser"
0,1,"CA","Other","$75,000+","Female","45-64","some college","February","2013","Kaiser"
0,0,"CA","White","$20,000-$40,000","Female","30-44","some college","February","2013","Kaiser"
1,0,"WA","White","$75,000+","Male","30-44","postgraduate","February","2013","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Female","45-64","less than a high school education","February","2013","Kaiser"
0,1,"CA","White","$40,000-$75,000","Male","65+","high school graduate","February","2013","Kaiser"
NA,1,"OR","White","$40,000-$75,000","Female","30-44","some college","February","2013","Kaiser"
NA,1,"WA","Hispanic","$40,000-$75,000","Female","65+","some college","February","2013","Kaiser"
NA,0,"CA","Other","$40,000-$75,000","Female","30-44","college graduate","February","2013","Kaiser"
1,0,"ME","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Female","65+","college graduate","February","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Female","18-29","college graduate","February","2013","Kaiser"
1,0,"VT","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
0,0,"NC","White","$75,000+","Female","65+","college graduate","February","2013","Kaiser"
0,0,"VA","White","$75,000+","Male","65+","college graduate","February","2013","Kaiser"
0,0,"TN","White","$20,000-$40,000","Female","65+","some college","February","2013","Kaiser"
0,0,"MI","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
NA,0,"PA","White","$40,000-$75,000","Female","65+","some college","February","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Male","45-64","less than a high school education","February","2013","Kaiser"
1,0,"AR","Other","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
0,1,"MI","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
NA,NA,"MD","Black","less than $20,000","Female","65+","less than a high school education","February","2013","Kaiser"
1,0,"AL","Black","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
0,0,"MI","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
1,0,"KY","Black","$40,000-$75,000","Male","45-64","postgraduate","February","2013","Kaiser"
0,1,"NY","White","$75,000+","Male","65+","postgraduate","February","2013","Kaiser"
1,0,"MA","White","$75,000+","Female","65+","college graduate","February","2013","Kaiser"
0,1,"MS","Black","less than $20,000","Female","45-64","high school graduate","February","2013","Kaiser"
1,0,"NY","White","$20,000-$40,000","Female","18-29","some college","February","2013","Kaiser"
0,1,"TX","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
0,0,"NY","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
NA,0,"SC","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
NA,0,"UT","White",NA,"Male","65+","high school graduate","February","2013","Kaiser"
NA,0,"NJ","Black",NA,"Female","65+","high school graduate","February","2013","Kaiser"
1,0,"TN","White","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"TX","White","$40,000-$75,000","Female","65+","postgraduate","February","2013","Kaiser"
0,0,"ME","White","$20,000-$40,000","Male","65+","college graduate","February","2013","Kaiser"
1,0,"CO","White","$20,000-$40,000","Female","65+","some college","February","2013","Kaiser"
0,1,"UT","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
1,0,"FL","White","$75,000+","Male","65+","college graduate","February","2013","Kaiser"
0,0,"WA","White","$40,000-$75,000","Female","45-64","some college","February","2013","Kaiser"
0,0,"FL","Hispanic","less than $20,000","Female","45-64","high school graduate","February","2013","Kaiser"
NA,0,"CA","Black","less than $20,000","Male","18-29","less than a high school education","February","2013","Kaiser"
0,0,"NH","Hispanic","$75,000+","Female","45-64","postgraduate","February","2013","Kaiser"
1,0,"NY","White","$75,000+","Female","65+","postgraduate","February","2013","Kaiser"
0,0,"TX",NA,"$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
0,1,"IL","White","less than $20,000","Female","45-64","high school graduate","February","2013","Kaiser"
0,1,"TN","White","$20,000-$40,000","Female","65+","college graduate","February","2013","Kaiser"
NA,0,"CA","White","$20,000-$40,000","Male","65+","less than a high school education","February","2013","Kaiser"
1,0,"CA","White",NA,"Male","65+","some college","February","2013","Kaiser"
1,0,"OH","White","less than $20,000","Female","45-64","high school graduate","February","2013","Kaiser"
1,0,"CA","Black","$75,000+","Male","65+","some college","February","2013","Kaiser"
NA,NA,"MI","White","$20,000-$40,000","Male","65+","high school graduate","February","2013","Kaiser"
1,0,"OR","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
0,1,"CA","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
1,0,"OR","White","$20,000-$40,000","Female","30-44","college graduate","February","2013","Kaiser"
0,1,"PA","White","$75,000+","Male","65+","college graduate","February","2013","Kaiser"
NA,0,"GA","White",NA,"Male","30-44","high school graduate","February","2013","Kaiser"
NA,1,"NH","White","$20,000-$40,000","Male","65+","high school graduate","February","2013","Kaiser"
1,0,"NY","Black","less than $20,000","Male","65+","less than a high school education","February","2013","Kaiser"
NA,0,"MA","White",NA,"Male","45-64","high school graduate","February","2013","Kaiser"
0,0,"SC","White","$75,000+","Male","45-64","college graduate","February","2013","Kaiser"
NA,0,"IN","White","$20,000-$40,000","Male","45-64","high school graduate","February","2013","Kaiser"
0,0,"PA","White","$75,000+","Female","45-64","college graduate","February","2013","Kaiser"
NA,0,"CA","Hispanic","less than $20,000","Male","18-29","less than a high school education","February","2013","Kaiser"
0,0,"IA","White","$40,000-$75,000","Female","45-64","college graduate","February","2013","Kaiser"
1,0,"MD","Black","$40,000-$75,000","Female","45-64","high school graduate","February","2013","Kaiser"
0,0,"FL","White","$40,000-$75,000","Female","65+","postgraduate","February","2013","Kaiser"
1,0,"CA","Other","$20,000-$40,000","Female","45-64","high school graduate","February","2013","Kaiser"
0,1,"KY","White","$20,000-$40,000","Female","45-64","some college","February","2013","Kaiser"
0,0,"PA","White","$20,000-$40,000","Female","45-64","high school graduate","February","2013","Kaiser"
1,0,"OR","White","$75,000+","Female","65+","college graduate","February","2013","Kaiser"
1,0,"SC","White","$40,000-$75,000","Female","65+","postgraduate","February","2013","Kaiser"
1,0,"FL","Black","$20,000-$40,000","Female","45-64","some college","February","2013","Kaiser"
NA,1,"NY","Black",NA,"Female","65+","less than a high school education","February","2013","Kaiser"
NA,0,"NJ","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
NA,1,"PA","White","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
NA,1,"FL","White","$20,000-$40,000","Female","65+","less than a high school education","February","2013","Kaiser"
NA,0,"GA","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
0,0,"NY","White","$40,000-$75,000","Male","45-64","college graduate","February","2013","Kaiser"
1,0,"FL","Black","$40,000-$75,000","Male","45-64","high school graduate","February","2013","Kaiser"
0,0,"NY","Hispanic","less than $20,000","Female","65+","less than a high school education","February","2013","Kaiser"
NA,0,"NY","White","$75,000+","Male","45-64","postgraduate","February","2013","Kaiser"
1,0,"MI","Black","$20,000-$40,000","Female","65+","high school graduate","February","2013","Kaiser"
1,1,"FL","White","$40,000-$75,000","Male","65+","less than a high school education","February","2013","Kaiser"
0,0,"NY","White","$40,000-$75,000","Female","45-64","postgraduate","February","2013","Kaiser"
