"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
0,0,"TN","White",NA,"Male","30-44","college graduate","September","2013","Kaiser"
1,0,"MA","White",NA,"Female","30-44","college graduate","September","2013","Kaiser"
0,NA,"FL","White",NA,"Female","65+",NA,"September","2013","Kaiser"
1,0,"NJ","White","$40,000-$75,000","Male","65+","postgraduate","September","2013","Kaiser"
1,1,"NJ","White",NA,"Male","65+","college graduate","September","2013","Kaiser"
0,NA,"FL","White",NA,"Female","65+","high school graduate","September","2013","Kaiser"
NA,0,"OH","Black","$20,000-$40,000","Female","65+","high school graduate","September","2013","Kaiser"
0,NA,"PA",NA,NA,"Female","65+","postgraduate","September","2013","Kaiser"
0,1,"FL","White","$20,000-$40,000","Female","65+","postgraduate","September","2013","Kaiser"
1,0,"NY","Hispanic","$40,000-$75,000","Female","65+","college graduate","September","2013","Kaiser"
0,NA,"NC","White",NA,"Female","65+","less than a high school education","September","2013","Kaiser"
1,0,"PA","White","$75,000+","Male","65+","college graduate","September","2013","Kaiser"
1,0,"SC","Black","less than $20,000","Male","30-44","some college","September","2013","Kaiser"
NA,0,"IN","White","$20,000-$40,000","Female","45-64","some college","September","2013","Kaiser"
0,1,"GA","White","$40,000-$75,000","Female","45-64","postgraduate","September","2013","Kaiser"
NA,0,"MD","Black","less than $20,000","Female","65+","college graduate","September","2013","Kaiser"
1,0,"NC","Hispanic","$40,000-$75,000","Male","18-29","some college","September","2013","Kaiser"
0,1,"NJ",NA,NA,"Female","45-64","college graduate","September","2013","Kaiser"
0,1,"AL","White","less than $20,000","Female","18-29","high school graduate","September","2013","Kaiser"
1,0,"FL","Black","$75,000+","Female","45-64","some college","September","2013","Kaiser"
0,1,"AR","White","$20,000-$40,000","Female","65+","high school graduate","September","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Female","45-64","postgraduate","September","2013","Kaiser"
0,0,"LA","White","$40,000-$75,000","Female","45-64","postgraduate","September","2013","Kaiser"
1,0,"IA","White","$75,000+","Female","65+","college graduate","September","2013","Kaiser"
0,0,"MS","White","$40,000-$75,000","Female","45-64","college graduate","September","2013","Kaiser"
1,0,"FL","Black",NA,"Female","65+","high school graduate","September","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Male","65+","postgraduate","September","2013","Kaiser"
0,0,"IL","White",NA,"Female","65+","some college","September","2013","Kaiser"
0,0,"VA","White","$75,000+","Male","45-64","postgraduate","September","2013","Kaiser"
NA,1,"IL","White","less than $20,000","Female","65+","some college","September","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Male","65+","postgraduate","September","2013","Kaiser"
1,NA,"MN","White","$20,000-$40,000","Female","65+","some college","September","2013","Kaiser"
0,0,"TN","White","less than $20,000","Male","45-64","college graduate","September","2013","Kaiser"
NA,0,"TX","Black",NA,"Female","65+","high school graduate","September","2013","Kaiser"
0,0,"OH","White","$75,000+","Male","45-64","college graduate","September","2013","Kaiser"
1,0,"IL","White","$75,000+","Male","45-64","postgraduate","September","2013","Kaiser"
NA,NA,"NC","White",NA,"Male","18-29","some college","September","2013","Kaiser"
0,0,"MN","White","$20,000-$40,000","Female","65+","college graduate","September","2013","Kaiser"
1,0,"GA","White","$75,000+","Male","45-64","postgraduate","September","2013","Kaiser"
NA,0,"NY","White","$40,000-$75,000","Female","65+","college graduate","September","2013","Kaiser"
NA,0,"TN","Black","$20,000-$40,000","Female","45-64","college graduate","September","2013","Kaiser"
0,NA,"FL","White",NA,"Female","18-29","college graduate","September","2013","Kaiser"
NA,0,"NC","Other","less than $20,000","Male","65+","high school graduate","September","2013","Kaiser"
1,0,"GA","Hispanic","$20,000-$40,000","Male","30-44","less than a high school education","September","2013","Kaiser"
NA,0,"MN","White","less than $20,000","Male","65+","some college","September","2013","Kaiser"
0,0,"OH","White",NA,"Male","45-64","college graduate","September","2013","Kaiser"
0,1,"LA","White","$75,000+","Male","65+","postgraduate","September","2013","Kaiser"
NA,0,"LA","Black","$20,000-$40,000","Female","65+","high school graduate","September","2013","Kaiser"
1,0,"FL","White","$75,000+","Female","30-44","postgraduate","September","2013","Kaiser"
0,0,"VA","White","$40,000-$75,000","Female","45-64","some college","September","2013","Kaiser"
NA,NA,"VA","Black","$20,000-$40,000","Female","65+","high school graduate","September","2013","Kaiser"
