"aca.fav","state","race","income","sex","age","education","month","year","polling.org"
0,"MS","Other","$75,000+","Female","45-64","some college","June","2013","Kaiser"
0,"NJ","White","$20,000-$40,000","Female","65+","college graduate","June","2013","Kaiser"
1,"MD","White","$40,000-$75,000","Male","45-64","postgraduate","June","2013","Kaiser"
0,"TX","White","$75,000+","Male","18-29","college graduate","June","2013","Kaiser"
0,"IA","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"LA","Black","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
0,"MN","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
1,"CO","Other","$75,000+","Male","30-44","postgraduate","June","2013","Kaiser"
NA,"VA","Hispanic",NA,"Male","45-64","less than a high school education","June","2013","Kaiser"
NA,"MN","White","less than $20,000","Male","65+","some college","June","2013","Kaiser"
0,"LA","White",NA,"Female","65+","some college","June","2013","Kaiser"
1,"FL","White",NA,"Female","45-64","some college","June","2013","Kaiser"
1,"RI","White","$20,000-$40,000","Female","45-64","college graduate","June","2013","Kaiser"
1,"MN","White","$75,000+","Female","65+","postgraduate","June","2013","Kaiser"
0,"UT","White",NA,"Male","30-44","college graduate","June","2013","Kaiser"
0,"NJ","White","$20,000-$40,000","Female","65+","college graduate","June","2013","Kaiser"
1,"MT","White","$75,000+","Male","45-64","postgraduate","June","2013","Kaiser"
0,"CT","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
NA,"IN","Black",NA,"Female","65+","college graduate","June","2013","Kaiser"
NA,"OH","White","less than $20,000","Female","30-44","high school graduate","June","2013","Kaiser"
0,"NC","White","$40,000-$75,000","Male","65+","postgraduate","June","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Female","45-64","high school graduate","June","2013","Kaiser"
0,"MD","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"NY","White","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
NA,"MD","White","$75,000+","Female","45-64","high school graduate","June","2013","Kaiser"
1,"FL","Other",NA,"Female","18-29","some college","June","2013","Kaiser"
1,"PA","White","$40,000-$75,000","Female","18-29","high school graduate","June","2013","Kaiser"
0,"MI","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
1,"NY","White","$75,000+","Male","45-64","high school graduate","June","2013","Kaiser"
1,"OH","White","$75,000+","Female","45-64","postgraduate","June","2013","Kaiser"
NA,"FL","Black","less than $20,000","Female","45-64","high school graduate","June","2013","Kaiser"
NA,"VA","White","less than $20,000","Female","65+","less than a high school education","June","2013","Kaiser"
0,"MA","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
NA,"OH","White",NA,"Male","65+","some college","June","2013","Kaiser"
0,"MD","White","$75,000+","Male","65+","some college","June","2013","Kaiser"
1,"IN","White","$20,000-$40,000","Female","65+","postgraduate","June","2013","Kaiser"
0,"OH","White","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
0,"NJ","White","$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
1,"NY","White",NA,"Female","65+","college graduate","June","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"TN","White",NA,"Male","65+","college graduate","June","2013","Kaiser"
0,"FL","White",NA,"Male","45-64","some college","June","2013","Kaiser"
0,"AR",NA,NA,"Male","45-64","college graduate","June","2013","Kaiser"
1,"PA","Black","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"FL","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
0,"NJ","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
0,"IN","White","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
0,"NY","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","30-44","college graduate","June","2013","Kaiser"
NA,"PA","Black","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
1,"MD","White","$20,000-$40,000","Male","65+","some college","June","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Female","45-64","high school graduate","June","2013","Kaiser"
1,"FL","White","$20,000-$40,000","Male","65+","some college","June","2013","Kaiser"
0,"MD","White","$75,000+","Female","30-44","postgraduate","June","2013","Kaiser"
0,"FL","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"IN","White","$40,000-$75,000","Male","65+","postgraduate","June","2013","Kaiser"
1,"IN","White","$20,000-$40,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"MA","White","$75,000+","Female","45-64","some college","June","2013","Kaiser"
0,"OH","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","65+","college graduate","June","2013","Kaiser"
0,"MD","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
NA,"IN","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
NA,"NJ","Other","$75,000+","Male","30-44","postgraduate","June","2013","Kaiser"
NA,"NJ","Hispanic","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
1,"NY","Hispanic","$20,000-$40,000","Male","45-64","less than a high school education","June","2013","Kaiser"
1,"MD","White","$40,000-$75,000","Male","65+","postgraduate","June","2013","Kaiser"
1,"CT","White","$40,000-$75,000","Male","45-64","college graduate","June","2013","Kaiser"
0,"FL","White","$20,000-$40,000","Female","65+","college graduate","June","2013","Kaiser"
0,"MI","White","$20,000-$40,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Male","65+","some college","June","2013","Kaiser"
0,"SC","White",NA,"Male","45-64","some college","June","2013","Kaiser"
NA,"SC","White",NA,"Male","65+","some college","June","2013","Kaiser"
0,"MA","White","$40,000-$75,000","Male","30-44","high school graduate","June","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","65+","postgraduate","June","2013","Kaiser"
1,"NY","Other","$20,000-$40,000","Male","18-29","college graduate","June","2013","Kaiser"
0,"PA","Other",NA,"Male","30-44","some college","June","2013","Kaiser"
0,"TN","White",NA,"Female","65+","college graduate","June","2013","Kaiser"
1,"SC","Black","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"NC","White","$40,000-$75,000","Male","45-64","college graduate","June","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
NA,"PA","White","$75,000+","Male","45-64","high school graduate","June","2013","Kaiser"
1,"AZ","White","$40,000-$75,000","Male","65+","college graduate","June","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Female","65+","college graduate","June","2013","Kaiser"
1,"AZ","White","$40,000-$75,000","Female","65+","college graduate","June","2013","Kaiser"
1,"AZ","Hispanic",NA,"Female","30-44","less than a high school education","June","2013","Kaiser"
1,"CO","White","$20,000-$40,000","Female","65+","college graduate","June","2013","Kaiser"
0,"KS","White",NA,"Female","65+","college graduate","June","2013","Kaiser"
0,"CO","White",NA,"Female","65+","college graduate","June","2013","Kaiser"
0,"AZ","White","less than $20,000","Male","65+","less than a high school education","June","2013","Kaiser"
1,"MN","White","$75,000+","Male","65+","postgraduate","June","2013","Kaiser"
NA,"KS","Black","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"MO","Other","$20,000-$40,000","Female","30-44","some college","June","2013","Kaiser"
1,"IA","White","$75,000+","Male","45-64","postgraduate","June","2013","Kaiser"
0,"MN","White","$75,000+","Female","30-44","postgraduate","June","2013","Kaiser"
0,"MN","White","$40,000-$75,000","Male","45-64","high school graduate","June","2013","Kaiser"
0,"CO","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
0,"WI","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"UT","White",NA,"Male","65+","college graduate","June","2013","Kaiser"
1,"MN","White","$20,000-$40,000","Female","65+","postgraduate","June","2013","Kaiser"
NA,"IL","White","$20,000-$40,000","Female","65+","some college","June","2013","Kaiser"
NA,"MO","White","$40,000-$75,000","Male","65+","high school graduate","June","2013","Kaiser"
1,"TX","White","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
1,"LA",NA,"$75,000+","Male","65+","college graduate","June","2013","Kaiser"
0,"MN","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"KS","White","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
NA,"WI","White","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
1,"AL","White","$20,000-$40,000","Male","18-29","high school graduate","June","2013","Kaiser"
NA,"TX","White","$40,000-$75,000","Female","65+","postgraduate","June","2013","Kaiser"
0,"MS","White","less than $20,000","Female","65+","some college","June","2013","Kaiser"
1,"TN","Black","$20,000-$40,000","Female","18-29","high school graduate","June","2013","Kaiser"
0,"KY","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
1,"ID","Hispanic","$75,000+","Male","30-44","high school graduate","June","2013","Kaiser"
1,"ID","White","$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
1,"CO","Other","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"UT","White","$40,000-$75,000","Female","30-44","college graduate","June","2013","Kaiser"
0,"TX","White","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
1,"IA","White","$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
0,"AR","White","$40,000-$75,000","Male","45-64","high school graduate","June","2013","Kaiser"
1,"AR","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
NA,"TX","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
0,"LA","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"TX","White","$40,000-$75,000","Female","45-64","postgraduate","June","2013","Kaiser"
1,"WI","White","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
0,"AL","White","less than $20,000","Female","45-64","college graduate","June","2013","Kaiser"
0,"WI","White","$75,000+","Female","65+","college graduate","June","2013","Kaiser"
NA,"TX","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"MN","White",NA,"Female","45-64","high school graduate","June","2013","Kaiser"
1,"IA","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
0,"TX","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
0,"AR","White","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"MO","White",NA,"Female","30-44","college graduate","June","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Female","65+","less than a high school education","June","2013","Kaiser"
0,"MN","White","$40,000-$75,000","Male","65+","college graduate","June","2013","Kaiser"
1,"WI","White","$75,000+","Male","65+","postgraduate","June","2013","Kaiser"
1,"MN","White","$75,000+","Male","45-64","postgraduate","June","2013","Kaiser"
1,"MO","White","$20,000-$40,000","Male","45-64","high school graduate","June","2013","Kaiser"
1,"TX","White","$40,000-$75,000","Male","45-64","postgraduate","June","2013","Kaiser"
1,"FL","Other","less than $20,000","Female","45-64","high school graduate","June","2013","Kaiser"
1,"CA","Hispanic","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
1,"CA","White","$40,000-$75,000","Female","65+","college graduate","June","2013","Kaiser"
1,"WA","White",NA,"Male","65+","high school graduate","June","2013","Kaiser"
1,"WA","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"CA","White","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","18-29","college graduate","June","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Female","30-44","postgraduate","June","2013","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Male","30-44","college graduate","June","2013","Kaiser"
NA,"WA","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"CA","Hispanic","less than $20,000","Female","30-44","high school graduate","June","2013","Kaiser"
1,"NV","Hispanic","less than $20,000","Female","45-64","less than a high school education","June","2013","Kaiser"
0,"WA","White","less than $20,000","Female","65+","some college","June","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
0,"CA","White","$75,000+","Female","45-64","some college","June","2013","Kaiser"
NA,"OR","White","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
NA,"CA","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
0,"OR","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"CA","Hispanic","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"OR","White","$20,000-$40,000","Female","65+","some college","June","2013","Kaiser"
NA,"AK","Other","$20,000-$40,000","Male","18-29","high school graduate","June","2013","Kaiser"
0,"AK","White","$75,000+","Female","45-64","high school graduate","June","2013","Kaiser"
1,"CA","White","$75,000+","Male","45-64","some college","June","2013","Kaiser"
1,"CA","Black","$75,000+","Female","30-44","college graduate","June","2013","Kaiser"
0,"CA","White","less than $20,000","Female","65+","college graduate","June","2013","Kaiser"
1,"WA","White","less than $20,000","Female","45-64","postgraduate","June","2013","Kaiser"
0,"WA","White","$75,000+","Male","65+","some college","June","2013","Kaiser"
0,"CA","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"CO","White","$40,000-$75,000","Male","45-64","college graduate","June","2013","Kaiser"
0,"MT","White","$20,000-$40,000","Female","45-64","high school graduate","June","2013","Kaiser"
NA,"NM",NA,"less than $20,000","Male","30-44","high school graduate","June","2013","Kaiser"
1,"CA","Black","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"NC","White",NA,"Female","65+","some college","June","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
1,"PA","White","$20,000-$40,000","Male","65+","college graduate","June","2013","Kaiser"
0,"NC","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
NA,"MI","White","$40,000-$75,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"NJ","White","$40,000-$75,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"SC","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"GA","White","$40,000-$75,000","Male","45-64","some college","June","2013","Kaiser"
1,"MI","White",NA,"Male","45-64","high school graduate","June","2013","Kaiser"
1,"OH","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
1,"NY","Other","$40,000-$75,000","Female","45-64","high school graduate","June","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","45-64","postgraduate","June","2013","Kaiser"
0,"FL","White","$75,000+","Male","65+","postgraduate","June","2013","Kaiser"
0,"VA","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
NA,"NJ","White","$75,000+","Female","65+","college graduate","June","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
1,"MI","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
0,"CT","White","$40,000-$75,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"MD","White","$20,000-$40,000","Female","45-64","less than a high school education","June","2013","Kaiser"
0,"PA","White","$75,000+","Female","45-64","some college","June","2013","Kaiser"
NA,"PA","Hispanic",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"VA","White","$40,000-$75,000","Male","45-64","postgraduate","June","2013","Kaiser"
0,"VA","White","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
1,"VA","White","$75,000+","Female","45-64","postgraduate","June","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"TN","Other","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
0,"MI","White",NA,"Male","65+","high school graduate","June","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Male","18-29","high school graduate","June","2013","Kaiser"
NA,"MI","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
1,"NY","White","less than $20,000","Male","30-44","college graduate","June","2013","Kaiser"
0,"MA",NA,NA,"Male","45-64","college graduate","June","2013","Kaiser"
NA,"NC","White","$20,000-$40,000","Male","65+","less than a high school education","June","2013","Kaiser"
1,"NY","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"IN","White","$20,000-$40,000","Female","65+","some college","June","2013","Kaiser"
0,"NJ","White","$40,000-$75,000","Male","30-44","less than a high school education","June","2013","Kaiser"
NA,"VA","White","$20,000-$40,000","Male","65+","less than a high school education","June","2013","Kaiser"
0,"NY","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"OH","Black","less than $20,000","Male","30-44","some college","June","2013","Kaiser"
NA,"FL","White","$40,000-$75,000","Female","30-44","college graduate","June","2013","Kaiser"
1,"IN","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
NA,"NY","White","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
1,"NY","White","$75,000+","Male","65+","some college","June","2013","Kaiser"
0,"NC","White","$40,000-$75,000","Male","45-64","high school graduate","June","2013","Kaiser"
1,"VA","Hispanic","$75,000+","Male","45-64","some college","June","2013","Kaiser"
0,"IN","White","$20,000-$40,000","Male","30-44","high school graduate","June","2013","Kaiser"
0,"NH","White","$40,000-$75,000","Female","45-64","high school graduate","June","2013","Kaiser"
NA,"MA","Black","less than $20,000","Female","18-29","high school graduate","June","2013","Kaiser"
0,"PA","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"VA","White","$40,000-$75,000","Female","30-44","high school graduate","June","2013","Kaiser"
NA,"KY","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
NA,"OH","White","less than $20,000","Female","65+","less than a high school education","June","2013","Kaiser"
NA,"MO","White","$20,000-$40,000","Female","65+","less than a high school education","June","2013","Kaiser"
0,"WV","White",NA,"Male","65+","high school graduate","June","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Male","65+","college graduate","June","2013","Kaiser"
NA,"DC","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"NY","Black","$20,000-$40,000","Male","45-64","high school graduate","June","2013","Kaiser"
0,"IN","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"AL","White","$20,000-$40,000","Female","65+","some college","June","2013","Kaiser"
1,"TX","White","$75,000+","Female","65+","college graduate","June","2013","Kaiser"
0,"TX","White","$75,000+","Female","65+","college graduate","June","2013","Kaiser"
NA,"NJ","White",NA,"Female","30-44","college graduate","June","2013","Kaiser"
0,"MI","White","$20,000-$40,000","Female","45-64","postgraduate","June","2013","Kaiser"
0,"NY","White",NA,"Male","45-64","postgraduate","June","2013","Kaiser"
NA,"MO","White","$40,000-$75,000","Female","30-44","college graduate","June","2013","Kaiser"
0,"SC","White",NA,"Male","65+","college graduate","June","2013","Kaiser"
0,"FL","White","$75,000+","Male","30-44","college graduate","June","2013","Kaiser"
1,"GA","Black","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
NA,"OH","White","$40,000-$75,000","Male","65+","high school graduate","June","2013","Kaiser"
1,"SC","Black","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
1,"NY","White","less than $20,000","Male","45-64","high school graduate","June","2013","Kaiser"
NA,"SD","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Male","30-44","high school graduate","June","2013","Kaiser"
NA,"SC","White","$20,000-$40,000","Male","65+","some college","June","2013","Kaiser"
1,"PA","White","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"MD","White","$20,000-$40,000","Female","45-64","high school graduate","June","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"IL","Hispanic","$20,000-$40,000","Female","45-64","high school graduate","June","2013","Kaiser"
1,"NC","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
1,"CT","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"KS","White","$75,000+","Female","30-44","postgraduate","June","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
1,"TN","White","$40,000-$75,000","Female","18-29","high school graduate","June","2013","Kaiser"
NA,"IL","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
0,"NJ","White",NA,"Female","65+","some college","June","2013","Kaiser"
0,"MO","White","less than $20,000","Male","30-44","postgraduate","June","2013","Kaiser"
NA,"MO","White",NA,"Female","65+","postgraduate","June","2013","Kaiser"
0,"IL","White","$20,000-$40,000","Female","65+","college graduate","June","2013","Kaiser"
0,"IL","White","$40,000-$75,000","Male","65+","postgraduate","June","2013","Kaiser"
1,"NC","Hispanic","$20,000-$40,000","Female","45-64","high school graduate","June","2013","Kaiser"
NA,"ID","White","$20,000-$40,000","Male","30-44","college graduate","June","2013","Kaiser"
1,"AL","Hispanic","$75,000+","Male","65+","some college","June","2013","Kaiser"
0,"NC","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
0,"AR","White","$20,000-$40,000","Female","45-64","high school graduate","June","2013","Kaiser"
0,"PA","White",NA,"Female","30-44","some college","June","2013","Kaiser"
1,"NY","Other","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
NA,"PA","White","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
1,"CO","Hispanic","$20,000-$40,000","Male","45-64","less than a high school education","June","2013","Kaiser"
NA,"IL",NA,"$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
0,"WI","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
1,"CO","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
0,"WV","White","less than $20,000","Female","18-29","high school graduate","June","2013","Kaiser"
1,"MN","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"AL","White","$75,000+","Male","45-64","postgraduate","June","2013","Kaiser"
1,"AL","Black","less than $20,000","Male","45-64","some college","June","2013","Kaiser"
1,"TX","White","$75,000+","Male","45-64","postgraduate","June","2013","Kaiser"
1,"CO","White","$75,000+","Male","30-44","college graduate","June","2013","Kaiser"
1,"FL","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
0,"MO","White","$40,000-$75,000","Male","65+","college graduate","June","2013","Kaiser"
NA,"CO","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
NA,"PA","White","less than $20,000","Female","65+","some college","June","2013","Kaiser"
1,"NY","Hispanic","less than $20,000","Female","65+","less than a high school education","June","2013","Kaiser"
1,"NY","White","$75,000+","Female","45-64","postgraduate","June","2013","Kaiser"
0,"MN","White","$40,000-$75,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"MS","White","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
