"aca.fav","state","race","income","sex","age","education","month","year","polling.org"
1,"NY","Hispanic","$40,000-$75,000","Female","18-29","high school graduate","June","2013","Kaiser"
0,"GA","White","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"MA","White","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
NA,"TX","Black","less than $20,000","Male","45-64","college graduate","June","2013","Kaiser"
0,"KS","White","$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
1,"TN","White","less than $20,000","Female","45-64","less than a high school education","June","2013","Kaiser"
NA,"RI","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"FL",NA,"less than $20,000","Male","45-64","postgraduate","June","2013","Kaiser"
1,"AL","Black","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"LA","White","$40,000-$75,000","Male","65+","postgraduate","June","2013","Kaiser"
1,"NC","Hispanic","less than $20,000","Female","45-64","less than a high school education","June","2013","Kaiser"
0,"TX","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"NJ","White","$75,000+","Female","45-64","postgraduate","June","2013","Kaiser"
NA,"NC","White","$20,000-$40,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"NY","White","$40,000-$75,000","Male","65+","some college","June","2013","Kaiser"
1,"OK","Hispanic","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
NA,"NY","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"NE","White","$75,000+","Male","45-64","some college","June","2013","Kaiser"
0,"AL","Other","less than $20,000","Female","45-64","high school graduate","June","2013","Kaiser"
1,"MI","Black","$20,000-$40,000","Male","45-64","college graduate","June","2013","Kaiser"
0,"OH","Black","$40,000-$75,000","Male","45-64","high school graduate","June","2013","Kaiser"
0,"TX","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
NA,"TX","Other","$20,000-$40,000","Female","45-64","some college","June","2013","Kaiser"
1,"MO","White","$40,000-$75,000","Male","18-29","college graduate","June","2013","Kaiser"
1,"IN","Hispanic","$75,000+","Female","45-64","postgraduate","June","2013","Kaiser"
NA,"TX","Hispanic","$20,000-$40,000","Male","18-29","high school graduate","June","2013","Kaiser"
1,"IL","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
0,"FL","Black","less than $20,000","Female","18-29","high school graduate","June","2013","Kaiser"
0,"VA","White","$40,000-$75,000","Female","45-64","college graduate","June","2013","Kaiser"
1,"CT","Hispanic","less than $20,000","Female","45-64","some college","June","2013","Kaiser"
NA,"MN","White","$40,000-$75,000","Female","45-64","some college","June","2013","Kaiser"
1,"KS","White","$20,000-$40,000","Male","18-29","high school graduate","June","2013","Kaiser"
1,"PA","Black","$20,000-$40,000","Male","65+","high school graduate","June","2013","Kaiser"
0,"AL","White","$20,000-$40,000","Male","65+","some college","June","2013","Kaiser"
1,"AL","Black","$75,000+","Female","45-64","college graduate","June","2013","Kaiser"
0,"LA","White","less than $20,000","Female","45-64","high school graduate","June","2013","Kaiser"
1,"IL","Black","$75,000+","Female","65+","college graduate","June","2013","Kaiser"
NA,"IA","White","$40,000-$75,000","Female","65+","college graduate","June","2013","Kaiser"
1,"KS","Black","$40,000-$75,000","Male","30-44","college graduate","June","2013","Kaiser"
1,"NC","Black","$20,000-$40,000","Male","30-44","high school graduate","June","2013","Kaiser"
1,"OK","Other","$20,000-$40,000","Female","65+","less than a high school education","June","2013","Kaiser"
0,"AL","White","$75,000+","Male","45-64","college graduate","June","2013","Kaiser"
1,"OH","White","$40,000-$75,000","Female","65+","some college","June","2013","Kaiser"
0,"KS","White","$75,000+","Male","45-64","high school graduate","June","2013","Kaiser"
0,"MN","Other","$75,000+","Female","30-44","some college","June","2013","Kaiser"
NA,"TX","Hispanic","less than $20,000","Female","65+","less than a high school education","June","2013","Kaiser"
0,"TX","White","$75,000+","Male","65+","college graduate","June","2013","Kaiser"
0,"KY","White","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"IL","White","$75,000+","Female","18-29","college graduate","June","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Male","65+","college graduate","June","2013","Kaiser"
0,"TX","White","less than $20,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"LA","Black","less than $20,000","Female","65+","less than a high school education","June","2013","Kaiser"
1,"PA","White","$75,000+","Male","45-64","postgraduate","June","2013","Kaiser"
0,"AL","Other","less than $20,000","Female","65+","college graduate","June","2013","Kaiser"
NA,"NC","White",NA,"Female","65+","high school graduate","June","2013","Kaiser"
0,"MS","White","$20,000-$40,000","Female","65+","high school graduate","June","2013","Kaiser"
1,"MA","White","$75,000+","Female","45-64","postgraduate","June","2013","Kaiser"
0,"CO","White","$20,000-$40,000","Male","65+","some college","June","2013","Kaiser"
1,"UT","White","$40,000-$75,000","Female","65+","postgraduate","June","2013","Kaiser"
