"aca.fav","state","race","income","sex","age","education","month","year","polling.org"
0,"WI","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"CO","White","$40,000-$75,000","Female","65+","postgraduate","August","2013","Kaiser"
NA,"AZ","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
NA,"AZ","White","$20,000-$40,000","Female","65+","college graduate","August","2013","Kaiser"
NA,"KY","White","$20,000-$40,000","Male","30-44","high school graduate","August","2013","Kaiser"
0,"MO","White",NA,"Female","45-64","college graduate","August","2013","Kaiser"
NA,"MN","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
0,"OK","White",NA,"Male","45-64","some college","August","2013","Kaiser"
1,"WI","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
NA,"LA","White","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
0,"CA",NA,"$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
NA,"CA","Hispanic","$20,000-$40,000","Female","18-29","high school graduate","August","2013","Kaiser"
NA,"OR","White","$75,000+","Female","65+","high school graduate","August","2013","Kaiser"
1,"AK","White","$20,000-$40,000","Male","65+","high school graduate","August","2013","Kaiser"
0,"AK","Other","$75,000+","Male","45-64","college graduate","August","2013","Kaiser"
1,"HI","White","less than $20,000","Male","45-64","postgraduate","August","2013","Kaiser"
0,"CA","White","$75,000+","Male","30-44","postgraduate","August","2013","Kaiser"
0,"OR","White","$20,000-$40,000","Female","30-44","some college","August","2013","Kaiser"
1,"CA","White","$20,000-$40,000","Female","65+","college graduate","August","2013","Kaiser"
1,"NV","White",NA,"Female","18-29","some college","August","2013","Kaiser"
0,"WA","White","less than $20,000","Male","65+","less than a high school education","August","2013","Kaiser"
NA,"CA","Other","$75,000+","Male","18-29","some college","August","2013","Kaiser"
1,"CA","Other","$75,000+","Male","45-64","postgraduate","August","2013","Kaiser"
1,"OR","Hispanic",NA,"Male","45-64","postgraduate","August","2013","Kaiser"
1,"WA","White","$20,000-$40,000","Male","45-64","some college","August","2013","Kaiser"
1,"CA","White","$40,000-$75,000","Female","65+","college graduate","August","2013","Kaiser"
0,"CA",NA,"$75,000+","Male","65+","college graduate","August","2013","Kaiser"
0,"CA","White","$75,000+","Female","45-64","some college","August","2013","Kaiser"
0,"FL","White","$75,000+","Male","65+","some college","August","2013","Kaiser"
